centro_codigo,centro_nombre,centro_tipo_descripcion,centro_titularidad,direccion_via_tipo,direccion_via_nombre,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,municipio_wikidata,url_colegio,direccion_coor_x,direccion_coor_y
28010679,PI I MARGALL,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,PLAZA,del Dos de Mayo,2,28004,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.piimargall.madrid,-3.704593381,40.42680076
28010680,FRANCISCO DE GOYA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Antillón,23,28011,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.goya.madrid,-3.727706772,40.41108998
28010710,ISABEL LA CATOLICA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Barceló,2,28004,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.isabellacatolica.madrid,-3.699593602,40.42666896
28010722,JOAQUIN COSTA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,PASEO,de Pontones,8,28005,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.joaquincosta.madrid,-3.714565952,40.40556831
28010746,JOSE CALVO SOTELO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,AVDA,de la Ciudad de Barcelona,83,28007,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.calvosotelo.madrid,-3.673661094,40.40093095
28010761,LEGADO CRESPO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,PASEO,de las Acacias,2,28005,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.legadocrespo.madrid,-3.703916234,40.40481381
28010771,LEPANTO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Valderrey,9,28035,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.lepanto.madrid,-3.721035598,40.46844704
28010783,LOPE DE VEGA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Inglaterra,8,28019,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.lopedevega.madrid,-3.723264362,40.39465831
28010795,MANUEL BARTOLOME COSSIO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de José de Cadalso,19,28044,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.bartolomecossio.madrid,-3.771565498,40.38143611
28010801,MANUEL SAINZ DE VICUÑA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,del Camino de los Vinateros,104,28030,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.sainzdevicuna.madrid,-3.650054991,40.40926434
28010813,MARCELO USERA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Perales de Tajuña,1,28026,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.marcelousera.madrid,-3.699585166,40.38715528
28010849,MIGUEL BLASCO VILATELA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de los Hermanos García Noblejas,70,28017,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.blascovilatela.madrid,-3.632257593,40.42930008
28010850,MIGUEL DE UNAMUNO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Alicante,5,28045,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.unamuno.madrid,-3.693496575,40.39430013
28010862,MANUEL NUÑEZ DE ARENAS,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Martos,120,28053,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.nunezdearenas.madrid,-3.662327662,40.37597816
28010874,ANTONIO MORENO ROSALES,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,del Olmo,4,28012,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.antoniomorenoro.madrid,-3.701298365,40.41146939
28010886,NTRA. SRA. DE LA ALMUDENA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Lope de Rueda,48,28009,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.almudena.madrid,-3.677895838,40.41896937
